Adj Close (^DJI),DGS10 [%],T10YIE[%],Confirmed COVID-19 cases,Recovered COVID-19 cases,Deaths due to COVID-19 ,Initial unemployment claims (Seasonally adjusted),Weekly U.S. All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly U.S. No 2 Diesel Retail Prices  (Dollars per Gallon)
23346.24023,2.66,1.7,0,0,0,220000,2.329,3.013
22686.2207,2.56,1.68,0,0,0,220000,2.329,3.013
23433.16016,2.67,1.76,0,0,0,220000,2.329,3.013
23433.16016,2.67,1.76,0,0,0,220000,2.329,3.013
23433.16016,2.67,1.76,0,0,0,216000,2.329,3.013
23531.34961,2.7,1.78,0,0,0,216000,2.329,3.013
23787.44922,2.73,1.82,0,0,0,216000,2.338,2.976
23879.11914,2.74,1.83,0,0,0,216000,2.338,2.976
24001.91992,2.74,1.81,0,0,0,216000,2.338,2.976
23995.94922,2.71,1.83,0,0,0,216000,2.338,2.976
23995.94922,2.71,1.83,0,0,0,216000,2.338,2.976
23995.94922,2.71,1.83,0,0,0,209000,2.338,2.976
23909.83984,2.71,1.81,0,0,0,209000,2.338,2.976
24065.58984,2.72,1.81,0,0,0,209000,2.34,2.965
24207.16016,2.73,1.82,0,0,0,209000,2.34,2.965
24370.09961,2.75,1.79,0,0,0,209000,2.34,2.965
24706.34961,2.79,1.83,0,0,0,209000,2.34,2.965
24706.34961,2.79,1.83,0,0,0,209000,2.34,2.965
24706.34961,2.79,1.83,0,0,0,236000,2.34,2.965
24706.34961,2.79,1.83,0,0,0,236000,2.34,2.965
24404.48047,2.74,1.79,0,0,0,236000,2.343,2.965
24575.61914,2.76,1.8,0,0,0,236000,2.343,2.965
24553.24023,2.72,1.77,0,0,0,236000,2.343,2.965
24737.19922,2.76,1.79,0,0,0,236000,2.343,2.965
24737.19922,2.76,1.79,0,0,0,236000,2.343,2.965
24737.19922,2.76,1.79,0,0,0,230000,2.343,2.965
24528.2207,2.75,1.78,0,0,0,230000,2.343,2.965
24579.96094,2.72,1.78,0,0,0,230000,2.341,2.966
25014.85938,2.7,1.84,0,0,0,230000,2.341,2.966
24999.66992,2.63,1.85,0,0,0,230000,2.341,2.966
25063.89063,2.7,1.88,0,0,0,230000,2.341,2.966
25063.89063,2.7,1.88,0,0,0,230000,2.341,2.966
25063.89063,2.7,1.88,0,0,0,228000,2.341,2.966
25239.36914,2.73,1.87,0,0,0,228000,2.341,2.966
25411.51953,2.71,1.87,0,0,0,228000,2.361,2.966
25390.30078,2.7,1.86,0,0,0,228000,2.361,2.966
25169.5293,2.65,1.84,0,0,0,228000,2.361,2.966
25106.33008,2.63,1.82,0,0,0,228000,2.361,2.966
25106.33008,2.63,1.82,0,0,0,228000,2.361,2.966
25106.33008,2.63,1.82,0,0,0,218000,2.361,2.966
25053.10938,2.65,1.82,0,0,0,218000,2.361,2.966
25425.75977,2.68,1.83,0,0,0,218000,2.4,3.006
25543.26953,2.71,1.86,0,0,0,218000,2.4,3.006
25439.39063,2.66,1.85,0,0,0,218000,2.4,3.006
25883.25,2.66,1.86,0,0,0,218000,2.4,3.006
25883.25,2.66,1.86,0,0,0,218000,2.4,3.006
25883.25,2.66,1.86,0,0,0,224000,2.4,3.006
